Recipe Title,Serving Size,Total Preparation Time (min),Ingredients,Steps,Total Calories (cal) Per Serving,Protein (g) Per Serving,Carbohydrates (g) Per Serving,Fat (g) Per Serving,Fiber (g) Per Serving,Sodium (mg) Per Serving,Sugar (g) Per Serving,Total Calories (cal),Total Protein (g),Total Carbohydrates (g),Total Fat (g),Total Fiber (g),Total Sodium (mg),Total Sugar (g),,,,,
Black-Bean Chili,2,15,"1 cup canned black beans (drained and rinsed);
1 cup no added salt canned tomatoes;
1 cup diced onion; 1/2 cup corn (fresh or frozen); 1/2 cup diced bell pepper;
1 tsp olive oil;
2 cloves minced garlic or 1/2 tsp garlic powder; 1/2 tsp ground cumin; 1/2 tsp smoked paprika; 1/2 tsp chili powder; 1/4 tsp dried oregano; 2 tsp red wine vinegar or lime juice; 1 tsp chopped onion and cilantro for garnish if desired.
","Warm oil in a pot for 1?min.
Add onion, cook 2?min. Add diced bell pepper and corn, cooking for 2 more minutes. Stir in garlic (if using fresh) and cook for 30 seconds until fragrant. Stir in cumin, smoked paprika, chili powder, oregano, and black pepper. Let spices heat for 20-30 seconds to bloom their flavors.
Stir in beans and tomatoes. 
Simmer 8?min, stirring occasionally to thicken and meld flavors. 
Turn off heat and stir in lime juice or vinegar to brighten the chili. Serve hot. Garnish with chopped red onion and cilantro if desired.",202,10,35,4,13,404,7,403,19,70,8,26,808,13,,,,,
Chicken-Broccoli Stir-Fry,2,15,"1 cup diced chicken breast;
1 cup broccoli florets;
1 cup chopped onion;
1 tsp olive oil;
1/4 tsp ground ginger; 2 cloves minced garlic or 1/2 tsp garlic powder; 1/2 tsp smoked paprika; 1/2 tsp onion powder; 1/4 tsp black pepper; 1-2 tsp rice vinegar or lemon juice; 2 tsp sesame oil; 1 tsp low-sodium soy sauce
","Toss diced chicken with ground ginger, garlic (minced or powder), onion powder, smoked paprika, and black pepper. Let rest 5-10 minutes for better flavor absorption. Heat oil in a pan over medium-high heat. Add chicken, cook until lightly browned (3-4 minutes).
Add onion and broccoli, cook 3-5?min until vegetables soften slighlty but remain crisp.
If pan gets dry, add 1-2 Tbsp water or no-salt vegetable broth instead of oil. Stir in sesame oil, rice vinegar or lemon juice, and low sodium soy sauce.
Remove from heat and serve over brown rice, quinoa, or cauliflower rice.",306,45,6,10,2,173,3,611,90,12,20,5,346,5,,,,,
Creamy Chickpea Veggie Wrap,2,10,"1 cup canned chickpeas (drained);
1 cup diced bell pepper;
1 cup diced tomatoes; 1/2 cup chopped cucumbers;
1 cup shredded lettuce;
1 large corn tortilla;
1?tsp olive oil; 2 Tbsp plain Greek yogurt; 1 tsp smoked paprika; 1/2 tsp ground cumin; 1/2 tsp garlic powder; 1/2 tsp onion powder; 1/4 tsp dried oregano or dried thyme; black pepper, to taste; 1-2 tsp lemon juice or red wine vinegar","Rinse chickpeas thoroughly to reduce sodium and bitterness.
In a bowl, combine: Greek yogurt, olive oil, smoked paprika, cumin, garlic powder, onion powder, oregano/thyme, and lemon juice or vinegar.
Add chickpeas, lightly mash some for texture.
Stir in bell pepper and tomatoes.
Warm tortilla.
Add chickpea mixture and top with shredded lettuce.
Wrap tightly and enjoy.",270,16,45,5,9,415,13,540,32,89,9,18,830,25,,,,,
Lentil Soup,2,15,"1 cup cooked lentils;
1 cup diced carrots;
1 cup diced onion;
2 cups low-sodium vegetable broth;
1 tsp olive oil;
2-3 cloves minced garlic; 1/2 tsp smoked paprika; 1/2-1 tsp ground cumin; 1/2 tsp dried thyme or oregano; 1/4 tsp turmeric; 1/4 tsp black pepper; 1 bay leaf; 1-2 tsp lemon juice or a splash of red wine vinegar
","In a pot, warm oil for 1?min.
Add onion carrots, and garlic, cook 5-7 min or until translucent.
Stir in smoked paprika, cumin, thyme/oregano, tumeric, and black pepper. Let them bloom in the oil for 30-60 seconds to maximize flavor. Pour low-sodium vegetable broth. Add cooked lentils and bay leaf.
Simmer 10?min to allow flavors to meld. Remove bay leaf. Stir in lemon juice or red wine vinegar for brightness. Add more herbs, pepper, or acidity if needed.
Ladle into bowls.
",187,11,31,3,11,395,6,373,22,61,6,22,790,12,,,,,
Mexican-Style Bean Tacos,2,15,1 cup canned black beans (drained and rinsed); 2 large corn tortillas; 1/2 cup diced tomatoes; 1/4 cup chopped onions; 1/4 cup diced bell pepper; 1 tsp olive oil; 1 tsp lime juice (optional but recommended); 1/2 tsp black pepper; 1/2 tsp garlic powder; 1/2 tsp onion powder; 1/4 tsp dried oregano; 1/4 tsp ground coriander; 1/4 tsp chili powder; 1-2 tbsp fresh cilantro (optional) ,"Heat 1 tsp olive oil in a skillet over medium heat. Add the drained, rinsed black beans. Season with garlic powder, onion powder, oregano, coriander, chili powder, and black pepper. Cook 2-3 minutes, adding a splash of water if needed. Heat tortillas in a dry skillet for 20-30 seconds per side. Assemble the tacos by layering inside each tortilla with seasoned beans, diced tomatoes, chopped onions, and diced bell peppers. Top with fresh cilantro (optional). Squeeze lime juice over the top. 
",272,10,45,5,12,427,3,544,20,89,10,12,854,6,,,,,
Salmon Avocado Wrap,2,15,"1 can salmon (drained);
½ avocado (sliced);
1 whole?grain tortilla;
1 cup shredded lettuce;
1 tsp olive oil;
1 tbsp lemon juice; 1/2 tsp lemon zest; 1/2 tsp garlic powder; 1/4 tsp onion powder; 1/4 tsp black pepper; 1 tsp dried dill; 1 tsp dried parsley; 1-2 tsp rinsed capers (optional)","In a bowl, combine drained salmon with lemon juice, lemon zest, dill, parsley, garlic powder, onion powder, black pepper, and olive oil. Fold gently to keep some flakes intact. Warm tortilla in a dry skillet for 15-20?seconds each side.
Layer lettuce, salmon mixture, and avocado slices on tortilla. 
Roll up tightly.
Slice into halves, serve.",251,19,18,13,6,413,1,501,37,35,26,6,826,2,,,,,
Thai-Style Tofu Veggie Rice Bowl,2,10,"6?oz firm tofu (cubed and patted dry);
1 cup cooked brown rice;
1 cup frozen mixed veggies (thawed and drained);
1 tsp olive oil;
1 clove minced garlic; 1 small shallot or yellow onion, thinly sliced; 1-2 tsp fresh lime juice; zest of 1/2 lime; 1 tsp low-sodium vegetable broth; 1/4 tsp black pepper; 1-2 tbsp chopped fresh cilantro; 1 tbsp chopped green onion; 1/4-1/2 tsp red pepper flakes; 1-2 tsp rice vinegar; 1/2 tsp sesame oil; 1/2 tsp honey","In a small bowl, whisk together: lime juice, lime zest, garlic, shallot, black pepper, honey (optional), sesame oil (optional), and rice vinegar. Toss the tofu cubes in this mixture and marinate for 10-20 minutes. Heat 1 tsp olive oil in a skilllet over medium. Add tofu pieces (reserve marinade). Cook 4-5 minutes, turning until goldenwith slightly crisp edges. Add mixed vegetables to skillet. Pour in leftover marinade and 1 tsp low-sodium broth (optional). Cook 2 minutes. Add cooked brown rice. Stir well for 1 minute to combine. Turn off heat and add fresh cilantro, green onion, and a squeeze of lime. Serve warm.",298,11,45,9,4,226,8,596,22,89,18,8,452,16,,,,,
Tuna & Herb Pita,2,10,1 cup drained canned tuna; 1 small piece whole wheat pita; 1/4 cup diced tomato; 1/4 cup diced onion; 1 tsp olive oil; 1/2 tsp dried basil; 1/2 tsp dried oregano; 1 tsp red wine vinegar or apple cider vinegar; 1/2 tsp low-sodium soy sauce; 1 tsp lemon juice,"In a medium bowl, combine: cup drained canned tuna, dried basil, dried oregano, olive oil red wine vinegar or apple cider vinegar, lemon juice, and low-sodium soy sauce. Mix gently with a fork to keep some flake texture. Stir in diced tomato and diced onion. Toss lightly so tomatoes don't break down. Warm the pita by heating in a dry skillet for 15-20 seconds per side or microwave for 10 seconds wrapped in paper towel. Cut the pita in half to create 2 pockets. Spoon the tuna-herb mixture evenly into each half.",135,14,15,7,2,231,2,269,27,30,7,5,461,4,,,,,
Tuna & Sweet-Pea Rice Bowl,2,15,"1 can tuna (drained);
1 cup cooked brown rice;
1/2 cup frozen peas;
1 cup fresh spinach;
1 tsp olive oil;
1/2 tsp garlic powder; 1/2 tsp smoked paprika; 1/2 tsp onion powder; 1/2 tsp dried dill or dried parsley; 1/4 tsp black pepper; 1-2 tsp lemon juice; 1/2 tsp low-sodium Dijon mustard
","Heat oil in a skillet over medium heat.
Add spinach and peas, cook until wilted.
Stir in garlic powder, onion powder, smoked paprika, dill/parsley, black pepper, and optional dijon mustard and/or red pepper flakes. Add tuna, breaking into chunks. Add cooked brown rice and toss everything together. 
Finish with lemon juice to bright the dish.
Serve warm in a bowl immediately.",367,23,58,5,5,201,2,733,45,116,10,10,401,4,,,,,
Turkey & Rice Bowl,2,15,"6-8 oz lean ground turkey (93-99% lean);
1 cup cooked brown rice;
1 cup chopped kale or chopped zucchini; 1/2 cup diced bell pepper; 1/2 cup diced onion; 
1 tsp olive oil;
1/2 tsp garlic powder; 1/2 tsp onion powder; 1/2 tsp dried thyme; 1/2 tsp ground coriander; 1/4 tsp ground ginger; 1/4 tsp black pepper; 1/4 tsp red pepper flakes (optional); 1/2 tsp dried basil or Italian seasoning; 1-2 tsp lemon juice or rice vinegar","Heat oil in a pan over medium heat.
Add onion and bell pepper; cook 2-3 minutes until softened. Add ground turkey, cook 4-5?min, breaking it apart as it browns.
Stir in garlic powder, onion powder, thyme, coriander, ground ginger, basil or Italian seasoning, black pepper, and red pepper flakes (optional). Let spices heat 20-30 seconds to bloom their flavor. Stir in kale or zucchini. Cook and cover 3-4 minutes, adding a splash of water or no-salt broth if needed. Turn off heat and stir in lemon juice or rice vinegar.
Divide rice into two bowls. Top with the turkey-vegetable mixture. Enjoy.",354,27,35,12,4,255,4,708,54,69,23,8,509,8,,,,,
