Recipe Title,Category,Air Fryer,Food Processor,Pressure Cooker / Instant Pot,Toaster Oven,Rice Cooker,Stand Mixer,Slow Cooker,Blender,Cutting Board,Knives (explicit mention),Oven (conventional),Pots & Pans,Microwave,Refrigerator / Fridge,Stove / Range / Stovetop,Matched Phrases (evidence)
Apple Cinnamon Pancakes,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Pots & Pans: 'skillet'
Classic Banana-Oat Breakast Bowl,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Pots & Pans: 'pot'
Egg & Spinach Sandwich,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Pots & Pans: 'skillet'
English Muffin Breakfast Pizzas,Breakfast Recipes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Toaster Oven: 'toaster oven'; Oven (conventional): 'oven'
Mixed-Vegetable Breakfast Burrito,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Pots & Pans: 'skillet'
Peanut Butter Banana Smoothie,Breakfast Recipes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Food Processor: 'food processor'; Blender: 'blender'
Simple Fruit & Yogurt Bowl,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Spinach & Egg Scramble,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Pots & Pans: 'pan'
Tomato & Cheese Breakfast Toast,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Pots & Pans: 'skillet'
Veggie Egg Muffins,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Oven (conventional): 'oven'
Yogurt Berry Parfait,Breakfast Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Apple-Cinnamon Oat Cookies,Dessert Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Oven (conventional): 'oven'
Banana-Oat Bars,Dessert Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Oven (conventional): 'oven'
Banana-Peanut-Butter Yogurt Parfait,Dessert Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Blueberry-Banana Smoothie,Dessert Recipes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Food Processor: 'foor processor'; Blender: 'blender'
Mixed Fruit Salad,Dessert Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Peach-Cinnamon Rice Cake,Dessert Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Strawberry-Banana Frozen Cups,Dessert Recipes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Yogurt-Berry Shortcake,Dessert Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Oven (conventional): 'oven'
Beef & Vegetable Skillet,Dinner Recipes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Pots & Pans: 'skillet'; Stove / Range / Stovetop: 'stove'
