Recipe Title,Serving Size,Total Preparation Time (min),Ingredients,Steps,Calories (cal) Per Serving,Protein (g) Per Serving,Carbohydrates (g) Per Serving,Fat (g) Per Serving,Fiber (g) Per Serving,Sodium (mg) Per Serving,Sugar (g) Per Serving,Total Calories (cal),Total Protein (g),Total Carbohydrates (g),Total Fat (g),Total Fiber (g),Total Sodium (mg),Total Sugar (g),,,,,,
Apple Cinnamon Pancakes,2,20,1 cup whole-grain flour; 1 Tbsp sugar; 1 tsp baking powder; 1 tsp cinnamon; 1 cup milk (skim or soy); 1 egg; 1/2 cup diced apples; 1/2 Tbsp butter,"Mix flour, sugar, baking powder, and cinnamon.
Beat milk, egg, and melted butter together.
Pour the wet mix into the dry mix.
Fold in apple pieces.
Heat a non?stick skillet over medium.
Drop ¼ cup batter for each pancake.
Cook until bubbles form, flip, cook another 1?min.
Repeat with remaining batter.
Serve hot with fresh berries (optional).
Dig in!",357,8,62,8,8.9,343,16,713,30,123,15,17.8,686,31,,,,,,
Classic Banana-Oat Breakast Bowl,2,15,"1 cup rolled oats; 2 medium bananas, sliced; 2 Tbsp peanut butter; 1 tsp cinnamon; 1 Tbsp honey (optional)","Pour oats into a pot.
Add 2?cups of water (or milk).
Stir and bring to a boil.
Reduce heat and let it simmer until thick (?5?min).
Add sliced bananas, peanut butter, and cinnamon.
Stir until everything is warmed through.
Pour the mixture into two bowls.
Drizzle honey on top if you like it sweet.
Eat while warm.",430,12.4,73,12,5,69,29,860,19,145,23,10,138,58,,,,,,
Egg & Spinach Sandwich,2,10,"2 eggs;
1 cup fresh spinach;
2 slices whole?grain bread;
1 tsp olive or avocado oil;
1/8?tsp salt; 1/2 tsp garlic powder; 1/2 tsp smoked paprika; 1/4 tsp black pepper; 1/2 tsp dried basil or oregano","Heat oil in a skillet over medium heat. Beat eggs with salt, garlic powder, smoked paprika, black pepper, and dried basil or oregano.
Scramble in oil?heated pan until set.
Add spinach, cook 1?min.
Toast bread.
Spread eggs on bread, make a sandwich.
Slice and enjoy.",184,11,18,9,3,2,367,21,35,17,7,761,4,,,,,,,
Mixed-Vegetable Breakfast Burrito,2,15,2 corn tortillas; 2 eggs; 1/2 cup chopped bell pepper; 1/2 cup chopped carrots; 1/4 cup shredded cheddar cheese; 1 tsp oil (olive or avocado); 1/4 tsp garlic powder; 1/4 tsp smoked paprika; 1/2 tsp black pepper; 1/4 tsp dried oregano; pinch chili flakes (optional); 1 tsp lime juice,"Heat oil in a pan.
Add bell pepper and carrots; sauté 2?min.
Push veggies to the edge and scramble the eggs into the pan.
Cook eggs until they’re just set.
Warm tortillas in a dry skillet for 30?sec each side.
Sprinkle cheese over the egg mixture.
Spoon the mixture onto each tortilla. Drizzle 1/2 tsp lime juice over the filling.
Fold the sides and roll up.
Let it sit 1?min to melt cheese.
Eat warm.",278,12,27,13,4,189,5,555,24,54,26,6,378,10,,,,,,
Peanut Butter Banana Smoothie,2,5,1 banana; 2 Tbsp peanut butter; 1 cup soy milk; 1/2 cup oats; 1/4 tsp tumeric (optional),"Put banana, peanut butter, soy milk, oats, and turmeric in a blender.
Blend until smooth.
If too thick, add little more soy milk.
Pour into two glasses.
Drink right away.",301,11,37,12,5,110,17,602,21,74,24,10,330,33,,,,,,
Simple Fruit & Yogurt Bowl,2,5,2 cups plain yogurt; 1 cup diced apples; 1 cup blueberries; 1 Tbsp honey; 1 tsp ground cinnamon,"Scoop yogurt into two bowls.
Top with apples and blueberries.
Drizzle honey.
Sprinkle cinnamon.
Mix if desired.
Eat!",309,9,27,15,8,122,27,617,17,54,29,4,243,54,,,,,,
Spinach & Egg Scramble,2,10,2 whole eggs; 2 egg whites; 1 cup fresh spinach; 2 slices whole-grain bread; 1 tsp olive oil; 1/2 tsp black pepper; 1/4 tsp garlic powder; 1/4 tsp smoked paprika; 1/8 tsp dried oregano; pinch ground cumin,"Whisk eggs and egg whites in a bowl.
Heat butter in a pan.
Pour eggs into the pan.
Stir constantly until eggs are just set.
Add spinach to the eggs.
Stir until spinach wilts (?1?min).
Season with salt and pepper.
Toast bread slices.
Serve the scramble beside the toast.
Enjoy!",198,14,17,9,4.5,277,2,396,28,33,17,4.7,554,3,,,,,,
Tomato & Cheese Breakfast Toast,2,10,"2 slices whole-grain bread; 2 slices fresh tomato; 1/2 cup shredded mozzarella cheese; 1 tsp olive oil; black pepper, to taste; 1/2 tsp dried oregano; 1/4 tsp smoked paprika; dash of garlic powder; 1-2 tsp balsamic vinegar or squeeze of lemon","Heat a skillet over medium.
Brush bread lightly with olive oil.
Place bread in the skillet, toast both sides.
Put tomato slices on hot toast.
Sprinkle cheese and all seasonings over tomatoes. 
Cover the pan for 1?min to melt cheese.
Remove from heat. Add a drizzle of balsamic vinegar or a squeeze of lemon before serving.
Cut in half and serve.",209,11,17,11,3,283,4,417,21,34,22,6,566,8,,,,,,
Veggie Egg Muffins,2,25,6 eggs; 1/2 cup diced tomatoes; 1/2 cup chopped spinach; 1/4 cup shredded cheddar cheese; 1/2 tsp ground cumin; 1/4 tsp garlic powder; 1/4 tsp pepper; 1/2 tsp smoked paprika; 1/4 tsp dried oregano; pinch of cayenne,"Preheat oven to 350?°F (175?°C).
Whisk all eggs in a large bowl.
Stir in tomatoes, spinach, and cheese.
Grease a muffin tin lightly.
Spoon the mixture into 6 muffin cups, about ¾ full.
Bake 20?min until set.
Let cool 5?min.
Take out and serve.",285,23,6,20,1,294,2,570,45,11,39,1,587,3,,,,,,
Yogurt Berry Parfait,2,5,"2 cups plain Greek yogurt; 1 cup mixed berries (blueberries, strawberries); 1/2 cup rolled oats; 1/2 tsp vanilla extract; 1 tsp cinnamon","Mix vanilla extract into yogurt. Mash the mixed berries in a separate bowl .Spoon half of the yogurt into a bowl.
Sprinkle half the oats on top.
Layer half the berries.
Repeat the layers.
Sprinkle cinnamon.
Chill for 5?min (optional).
Eat straight away.",264,28,30,3,4.5,89,10,527,56,59,6,8.9,178,20,,,,,,
